[99 20 , 98 22 , 98 19 2 , 98 21 1 , 97 21 , 96 24 , 94 26 , 92 18 9 1 , 91 14 13 , 90 30 , 90 30 , 89 26 4 , 86 34 , 84 36 , 82 38 , 81 29 7 , 81 38 , 80 18 15 7 , 80 18 11 6 4 , 79 40 , 79 39 , 79 27 8 6 , 77 43 , 75 45 , 73 47 , 72 48 , 71 48 , 71 48 , 71 47 , 70 44 , 67 51 , 65 55 , 65 55 , 62 56 , 61 55 3 , 59 55 6 , 54 54 3 , 53 52 , 50 43 , 46 43 , 43 42 , 42 ]
[99 20 , 98 22 , 98 19 2 , 98 21 1 , 97 21 , 96 24 , 94 26 , 92 18 9 1 , 91 14 13 , 90 30 , 90 30 , 89 26 4 , 86 34 , 84 36 , 82 38 , 81 29 7 , 81 38 , 80 18 15 7 , 80 18 11 6 4 , 79 40 , 79 39 , 79 27 8 6 , 77 43 , 75 45 , 73 47 , 72 48 , 71 48 , 71 48 , 71 47 , 70 44 , 67 51 , 65 55 , 65 55 , 62 56 , 61 55 3 , 59 55 6 , 54 54 3 , 53 52 , 50 43 , 46 43 , 43 42 , 42 ]
[99 20 , 98 22 , 98 19 2 , 98 21 1 , 97 21 , 96 24 , 94 26 , 92 18 9 1 , 91 14 13 , 90 30 , 90 30 , 89 26 4 , 86 34 , 84 36 , 82 38 , 81 29 7 , 81 38 , 80 18 15 7 , 80 18 11 6 4 , 79 40 , 79 39 , 79 27 8 6 , 77 43 , 75 45 , 73 47 , 72 48 , 71 48 , 71 48 , 71 47 , 70 44 , 67 51 , 65 55 , 65 55 , 62 56 , 61 55 3 , 59 55 6 , 54 54 3 , 53 52 , 50 43 , 46 43 , 43 42 , 42 ]
[99 20 , 98 22 , 98 19 2 , 98 21 1 , 97 21 , 96 24 , 94 26 , 92 18 9 1 , 91 14 13 , 90 30 , 90 30 , 89 26 4 , 86 34 , 84 36 , 82 38 , 81 29 7 , 81 38 , 80 18 15 7 , 80 18 11 6 4 , 79 40 , 79 39 , 79 27 8 6 , 77 43 , 75 45 , 73 47 , 72 48 , 71 48 , 71 48 , 71 47 , 70 44 , 67 51 , 65 55 , 65 55 , 62 56 , 61 55 3 , 59 55 6 , 54 54 3 , 53 52 , 50 43 , 46 43 , 43 42 , 42 ]
[99 20 , 98 22 , 98 19 2 , 98 21 1 , 97 21 , 96 24 , 94 26 , 92 18 9 1 , 91 14 13 , 90 30 , 90 30 , 89 26 4 , 86 34 , 84 36 , 82 38 , 81 29 7 , 81 38 , 80 18 15 7 , 80 18 11 6 4 , 79 40 , 79 39 , 79 27 8 6 , 77 43 , 75 45 , 73 47 , 72 48 , 71 48 , 71 48 , 71 47 , 70 44 , 67 51 , 65 55 , 65 55 , 62 56 , 61 55 3 , 59 55 6 , 54 54 3 , 53 52 , 50 43 , 46 43 , 43 42 , 42 ]
[99 20 , 98 22 , 98 19 2 , 98 21 1 , 97 21 , 96 24 , 94 26 , 92 18 9 1 , 91 14 13 , 90 30 , 90 30 , 89 26 4 , 86 34 , 84 36 , 82 38 , 81 29 7 , 81 38 , 80 18 15 7 , 80 18 11 6 4 , 79 40 , 79 39 , 79 27 8 6 , 77 43 , 75 45 , 73 47 , 72 48 , 71 48 , 71 48 , 71 47 , 70 44 , 67 51 , 65 55 , 65 55 , 62 56 , 61 55 3 , 59 55 6 , 54 54 3 , 53 52 , 50 43 , 46 43 , 43 42 , 42 ]
[99 20 , 98 22 , 98 19 2 , 98 21 1 , 97 21 , 96 24 , 94 26 , 92 18 9 1 , 91 14 13 , 90 30 , 90 30 , 89 26 4 , 86 34 , 84 36 , 82 38 , 81 29 7 , 81 38 , 80 18 15 7 , 80 18 11 6 4 , 79 40 , 79 39 , 79 27 8 6 , 77 43 , 75 45 , 73 47 , 72 48 , 71 48 , 71 48 , 71 47 , 70 44 , 67 51 , 65 55 , 65 55 , 62 56 , 61 55 3 , 59 55 6 , 54 54 3 , 53 52 , 50 43 , 46 43 , 43 42 , 42 ]
[99 20 , 98 22 , 98 19 2 , 98 21 1 , 97 21 , 96 24 , 94 26 , 92 18 9 1 , 91 14 13 , 90 30 , 90 30 , 89 26 4 , 86 34 , 84 36 , 82 38 , 81 29 7 , 81 38 , 80 18 15 7 , 80 18 11 6 4 , 79 40 , 79 39 , 79 27 8 6 , 77 43 , 75 45 , 73 47 , 72 48 , 71 48 , 71 48 , 71 47 , 70 44 , 67 51 , 65 55 , 65 55 , 62 56 , 61 55 3 , 59 55 6 , 54 54 3 , 53 52 , 50 43 , 46 43 , 43 42 , 42 ]
[99 20 , 98 22 , 98 19 2 , 98 21 1 , 97 21 , 96 24 , 94 26 , 92 18 9 1 , 91 14 13 , 90 30 , 90 30 , 89 26 4 , 86 34 , 84 36 , 82 38 , 81 29 7 , 81 38 , 80 18 15 7 , 80 18 11 6 4 , 79 40 , 79 39 , 79 27 8 6 , 77 43 , 75 45 , 73 47 , 72 48 , 71 48 , 71 48 , 71 47 , 70 44 , 67 51 , 65 55 , 65 55 , 62 56 , 61 55 3 , 59 55 6 , 54 54 3 , 53 52 , 50 43 , 46 43 , 43 42 , 42 ]
[99 20 , 98 22 , 98 19 2 , 98 21 1 , 97 21 , 96 24 , 94 26 , 92 18 9 1 , 91 14 13 , 90 30 , 90 30 , 89 26 4 , 86 34 , 84 36 , 82 38 , 81 29 7 , 81 38 , 80 18 15 7 , 80 18 11 6 4 , 79 40 , 79 39 , 79 27 8 6 , 77 43 , 75 45 , 73 47 , 72 48 , 71 48 , 71 48 , 71 47 , 70 44 , 67 51 , 65 55 , 65 55 , 62 56 , 61 55 3 , 59 55 6 , 54 54 3 , 53 52 , 50 43 , 46 43 , 43 42 , 42 ]
[99 20 , 98 22 , 98 19 2 , 98 21 1 , 97 21 , 96 24 , 94 26 , 92 18 9 1 , 91 14 13 , 90 30 , 90 30 , 89 26 4 , 86 34 , 84 36 , 82 38 , 81 29 7 , 81 38 , 80 18 15 7 , 80 18 11 6 4 , 79 40 , 79 39 , 79 27 8 6 , 77 43 , 75 45 , 73 47 , 72 48 , 71 48 , 71 48 , 71 47 , 70 44 , 67 51 , 65 55 , 65 55 , 62 56 , 61 55 3 , 59 55 6 , 54 54 3 , 53 52 , 50 43 , 46 43 , 43 42 , 42 ]
[99 20 , 98 22 , 98 19 2 , 98 21 1 , 97 21 , 96 24 , 94 26 , 92 18 9 1 , 91 14 13 , 90 30 , 90 30 , 89 26 4 , 86 34 , 84 36 , 82 38 , 81 29 7 , 81 38 , 80 18 15 7 , 80 18 11 6 4 , 79 40 , 79 39 , 79 27 8 6 , 77 43 , 75 45 , 73 47 , 72 48 , 71 48 , 71 48 , 71 47 , 70 44 , 67 51 , 65 55 , 65 55 , 62 56 , 61 55 3 , 59 55 6 , 54 54 3 , 53 52 , 50 43 , 46 43 , 43 42 , 42 ]
[99 20 , 98 22 , 98 19 2 , 98 21 1 , 97 21 , 96 24 , 94 26 , 92 18 9 1 , 91 14 13 , 90 30 , 90 30 , 89 26 4 , 86 34 , 84 36 , 82 38 , 81 29 7 , 81 38 , 80 18 15 7 , 80 18 11 6 4 , 79 40 , 79 39 , 79 27 8 6 , 77 43 , 75 45 , 73 47 , 72 48 , 71 48 , 71 48 , 71 47 , 70 44 , 67 51 , 65 55 , 65 55 , 62 56 , 61 55 3 , 59 55 6 , 54 54 3 , 53 52 , 50 43 , 46 43 , 43 42 , 42 ]
[99 20 , 98 22 , 98 19 2 , 98 21 1 , 97 21 , 96 24 , 94 26 , 92 18 9 1 , 91 14 13 , 90 30 , 90 30 , 89 26 4 , 86 34 , 84 36 , 82 38 , 81 29 7 , 81 38 , 80 18 15 7 , 80 18 11 6 4 , 79 40 , 79 39 , 79 27 8 6 , 77 43 , 75 45 , 73 47 , 72 48 , 71 48 , 71 48 , 71 47 , 70 44 , 67 51 , 65 55 , 65 55 , 62 56 , 61 55 3 , 59 55 6 , 54 54 3 , 53 52 , 50 43 , 46 43 , 43 42 , 42 ]
Solution size: 42
