[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
[100 , 99 1 , 99 1 , 97 , 97 3 , 97 3 , 94 6 , 93 6 , 92 8 , 92 8 , 91 5 4 , 89 11 , 89 10 , 88 11 , 88 10 , 88 12 , 88 8 4 , 87 13 , 87 13 , 86 14 , 86 , 86 14 , 86 11 3 , 86 , 85 14 , 84 15 , 83 17 , 83 17 , 82 18 , 81 16 , 81 17 , 81 16 , 81 5 , 80 20 , 80 15 , 79 , 79 , 79 , 78 22 , 78 22 , 77 22 , 77 23 , 77 22 , 76 24 , 76 22 , 76 , 75 24 , 74 , 74 26 , 73 27 , 73 27 , 73 , 73 27 , 72 , 72 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 31 , 67 30 , 67 30 , 66 34 , 66 34 , 66 30 , 66 34 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 37 , 62 38 , 61 39 , 61 38 , 61 39 , 60 38 , 60 40 , 59 41 , 59 40 , 57 40 , 56 42 , 56 44 , 56 38 , 55 45 , 55 45 , 55 44 , 54 46 , 54 46 , 53 47 , 53 46 , 52 47 , 52 46 , 52 45 , 51 45 , 50 49 , 50 50 , 49 49 , 49 46 , 46 38 , 38 34 , 36 30 , 34 30 ]
