[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
[99 21 , 98 22 , 98 21 , 98 20 2 , 97 19 4 , 96 14 9 1 , 94 26 , 92 27 , 91 26 , 90 30 , 90 30 , 89 18 13 , 86 18 15 , 84 36 , 82 34 3 1 , 81 39 , 81 38 , 80 40 , 80 38 , 79 29 11 , 79 18 8 7 7 , 79 6 6 , 77 43 , 75 43 , 73 47 , 72 48 , 71 46 , 71 48 , 71 47 , 70 50 , 67 53 , 65 55 , 65 55 , 62 55 , 61 59 , 56 54 6 , 55 54 3 , 52 51 4 , 48 45 , 44 43 , 43 42 24 , 42 ]
Solution size: 42
