[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
[99 , 97 , 95 5 , 95 1 , 94 6 , 92 8 , 91 9 , 89 7 , 86 14 , 86 13 , 85 12 , 84 9 6 , 80 19 , 80 17 , 80 18 , 80 16 , 80 16 , 79 21 , 76 23 , 76 21 , 75 24 , 74 26 , 73 26 , 71 26 , 71 29 , 69 30 , 65 35 , 64 36 , 64 33 , 64 34 , 63 32 , 63 37 , 62 38 , 60 40 , 59 40 , 58 41 , 57 43 , 54 43 , 53 42 , 52 48 , 51 48 , 50 44 , 48 46 , 43 38 15 , 43 39 12 , 38 37 22 , 38 37 8 , 37 28 11 ]
