[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
[99 , 97 , 95 5 , 95 , 94 6 , 92 8 , 91 8 1 , 89 11 , 86 12 , 86 9 , 85 15 , 84 14 , 80 18 , 80 17 , 80 16 , 80 16 , 80 13 6 , 79 21 , 76 22 , 76 21 , 75 24 , 74 26 , 73 26 , 71 12 9 , 71 29 , 69 23 , 65 35 , 64 36 , 64 33 , 64 34 , 63 37 , 63 37 , 62 38 , 60 38 , 59 41 , 58 40 , 57 43 , 54 46 , 53 43 , 52 48 , 51 48 , 50 38 , 48 38 , 44 43 7 , 43 42 , 40 39 19 , 37 30 26 , 37 32 28 ]
